name,institution,course_id,media_rating,num_ratings
Machine Learning,Stanford University,machine-learning,4.7505223568742165,35895.0
Indigenous Canada,University of Alberta,indigenous-canada,4.813614262560778,3702.0
The Science of Well-Being,Yale University,the-science-of-well-being,4.92840428180234,20085.0
Technical Support Fundamentals,Google,technical-support-fundamentals,4.776182791132252,35319.0
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,google-cbrs-cpi-training,4.931034482758621,87.0
Financial Markets,Yale University,financial-markets-global,4.819466248037677,8918.0
Introduction to Psychology,Yale University,introduction-psychology,4.840493709945407,8426.0
Programming for Everybody (Getting Started with Python),University of Michigan,python,4.581781591401654,45218.0
The Bits and Bytes of Computer Networking,Google,computer-networking,4.6452454853273135,14176.0
AI For Everyone,DeepLearning.AI,ai-for-everyone,4.843550624133148,21630.0
Crash Course on Python,Google,python-crash-course,4.734439834024896,9399.0
Psychological First Aid,Johns Hopkins University,psychological-first-aid,4.865379598225933,7666.0
Neural Networks and Deep Learning,DeepLearning.AI,neural-networks-deep-learning,4.775888111888112,35750.0
What is Data Science?,IBM,what-is-datascience,4.632664674918196,21087.0
Successful Negotiation: Essential Strategies and Skills,University of Michigan,negotiation-skills,4.8064022446116565,7841.0
Fundamentals of Project Planning and Management,University of Virginia,uva-darden-project-management,4.771139705882353,3264.0
Project Launch,"University of California, Irvine",project-management,4.386792452830188,106.0
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,brand,4.897669706180345,2961.0
Writing in the Sciences,Stanford University,sciwrite,4.927483241925655,3282.0
Stanford Introduction to Food and Health,Stanford University,food-and-health,4.70971259443882,12839.0
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,html-css-javascript-for-web-developers,4.760450160771704,9330.0
Excel Skills for Business: Essentials,Macquarie University,excel-essentials,4.895534327796339,21251.0
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,negotiation,4.918815331010453,2870.0
"Everyday Excel, Part 1",University of Colorado Boulder,everyday-excel-part-1,4.829021372328459,889.0
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,learning-how-to-learn,4.802138540213854,32265.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,gcp-fundamentals,4.716958393113343,17425.0
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,wharton-contagious-viral-marketing,4.75952582557155,3543.0
Python Data Structures,University of Michigan,python-data,4.846628510105527,33546.0
Private Equity and Venture Capital,Università Bocconi,private-equity,4.763448784082535,2714.0
First Step Korean,Yonsei University,learn-korean,4.872926321445362,14889.0
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,introduction-tensorflow,4.659183673469387,7350.0
Operating Systems and You: Becoming a Power User,Google,os-power-user,4.51353919239905,6315.0
Tools for Data Science,IBM,open-source-tools-for-data-science,4.044048052420822,8241.0
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,deep-neural-network,4.818517896151907,17853.0
Diversity and inclusion in the workplace,ESSEC Business School,diversity-inclusion-workplace,4.707746478873239,284.0
Design and Interpretation of Clinical Trials,Johns Hopkins University,clinical-trials,4.7274725274725276,1365.0
Visual Elements of User Interface Design,California Institute of the Arts,visual-elements-user-interface-design,4.594099694811801,1966.0
Management of Fashion and Luxury Companies,Università Bocconi,mafash,4.7145038167938935,2620.0
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,pap,4.867940085199945,7277.0
Social Psychology,Wesleyan University,social-psychology,4.894624962040693,3293.0
Initiating and Planning Projects,"University of California, Irvine",project-planning,4.71588132635253,8595.0
Computational Thinking for Problem Solving,University of Pennsylvania,computational-thinking-problem-solving,4.687224669603524,681.0
Agile with Atlassian Jira,Atlassian,agile-atlassian-jira,4.668542199488491,1955.0
Fundamentals of Graphic Design,California Institute of the Arts,fundamentals-of-graphic-design,4.793112085159675,7985.0
Introduction to User Experience Design,Georgia Institute of Technology,user-experience-design,4.472292831723436,1967.0
Introduction to Marketing,University of Pennsylvania,wharton-marketing,4.731428571428571,5250.0
Python for Data Science and AI,IBM,python-for-applied-data-science-ai,4.313180623357116,7989.0
Marketing Analytics,University of Virginia,uva-darden-market-analytics,4.650664697193501,4062.0
Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,classification-vector-spaces-in-nlp,4.352112676056338,852.0
Fundamentals of Quantitative Modeling,University of Pennsylvania,wharton-quantitative-modeling,4.565217391304348,3588.0
How to Manage a Remote Team,GitLab,remote-team-management,5.0,15.0
Mathematics for Machine Learning: Linear Algebra,Imperial College London,linear-algebra-machine-learning,4.605603905752494,4711.0
Introduction to Data Science in Python,University of Michigan,python-data-analysis,4.247900923593619,14292.0
Customer Analytics,University of Pennsylvania,wharton-customer-analytics,4.447023208879919,5946.0
Introduction to Psychology,University of Toronto,introduction-psych,4.888958203368683,3206.0
English for Career Development,University of Pennsylvania,careerdevelopment,4.853892215568862,7515.0
Global Diplomacy – Diplomacy in the Modern World,University of London,global-diplomacy,4.640992167101827,2298.0
Game Theory,Stanford University,game-theory-1,,
SQL for Data Science,"University of California, Davis",sql-for-data-science,4.506682161533992,5163.0
Write Professional Emails in English,Georgia Institute of Technology,professional-emails-english,4.817436831322558,8786.0
Medical Neuroscience,Duke University,medical-neuroscience,4.9104803493449785,1374.0
System Administration and IT Infrastructure Services,Google,system-administration-it-infrastructure-services,4.656901408450704,5325.0
International Women's Health and Human Rights,Stanford University,womens-health-human-rights,4.894230769230769,624.0
Child Nutrition and Cooking,Stanford University,childnutrition,4.740534521158129,5388.0
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,neurobiology,4.921771217712177,1355.0
