title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
How to Learn Online,124980,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,English,2–3 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,2,6124020,5.0,"(0.0, 10.0]",11.735909003483073,"(0.0, 10.0]"
Programming for Everybody (Getting Started with Python),293864,Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,7,14399336,21.0,"(20.0, 30.0]",12.590872354261341,"(20.0, 30.0]"
CS50's Introduction to Computer Science,2442271,Self-paced on your time,Harvard University,Introductory,Computer Science,English,English,6–18 hours per week,12 Weeks,FREE-Add a Verified Certificate for $90 USD,12.0,90,12,219804390,144.0,"(100.0, inf]",14.708438902106534,"(100.0, inf]"
The Analytics Edge,129555,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Data Analysis & Statistics,English,English,10–15 hours per week,13 Weeks,FREE-Add a Verified Certificate for $199 USD,12.5,199,13,25781445,162.5,"(100.0, inf]",11.771860780382495,"(100.0, inf]"
Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,English,5–7 hours per week,4 Weeks,FREE-Add a Verified Certificate for $249 USD,6.0,249,4,20203860,24.0,"(20.0, 30.0]",11.303931336760439,"(20.0, 30.0]"
Introduction to Project Management,301793,Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,6,60056807,15.0,"(10.0, 20.0]",12.617496630878573,"(10.0, 20.0]"
Leading High-Performing Teams,32847,Self-paced on your time,The University of Queensland,Intermediate,Communication,English,English,8–10 hours per week,10 Weeks,FREE-Add a Verified Certificate for $5 USD,9.0,5,10,164235,90.0,"(80.0, 100.0]",10.399615695541534,"(80.0, 100.0]"
The Foundations of Happiness at Work,67073,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,4,13347527,10.0,"(0.0, 10.0]",11.11353685748066,"(0.0, 10.0]"
"Managing Study, Stress and Mental Health at University",23061,Self-paced on your time,Curtin University,Introductory,Health & Safety,English,English,1–3 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,2.0,49,2,1129989,4.0,"(0.0, 10.0]",10.045898158017241,"(0.0, 10.0]"
Six Sigma: Define and Measure,92411,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,3.5,99,8,9148689,28.0,"(20.0, 30.0]",11.434001298163217,"(20.0, 30.0]"
Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Harvard University,Introductory,Math,English,English,3–5 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,7,3274915,28.0,"(20.0, 30.0]",11.109982174405573,"(20.0, 30.0]"
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,National Research Nuclear University,Introductory,Communication,English,English,2–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,5,2190839,20.0,"(10.0, 20.0]",10.707974835338897,"(10.0, 20.0]"
Bitcoin and Cryptocurrencies,83398,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,6,8256402,24.0,"(20.0, 30.0]",11.331379607243946,"(20.0, 30.0]"
English Grammar and Style,0,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,3.5,99,8,0,28.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Ethics in Action,6366,Self-paced on your time,SDG Academy,Intermediate,Ethics,English,"English, Español, Русский",2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,10,311934,30.0,"(20.0, 30.0]",8.758726607842037,"(20.0, 30.0]"
Introduction to FinTech,72767,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,English,"English, 中文, 中文",1–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,2.0,199,6,14480633,12.0,"(10.0, 20.0]",11.195017834711471,"(10.0, 20.0]"
Data Science: R Basics,528782,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,8,25910318,12.0,"(10.0, 20.0]",13.17833152760592,"(10.0, 20.0]"
Python Basics for Data Science,228809,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,2–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $39 USD,3.5,39,5,8923551,17.5,"(10.0, 20.0]",12.340642873378489,"(10.0, 20.0]"
The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,Introductory,Food & Nutrition,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,6,1915165,18.0,"(10.0, 20.0]",10.573494040654431,"(10.0, 20.0]"
Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,Advanced,Business & Management,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $399 USD,5.0,399,6,41352360,30.0,"(20.0, 30.0]",11.548678634676046,"(20.0, 30.0]"
CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,Introductory,Computer Science,English,English,10–30 hours per week,7 Weeks,FREE-Add a Verified Certificate for $199 USD,20.0,199,7,51343194,140.0,"(100.0, inf]",12.460738119447296,"(100.0, inf]"
CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,English,6–9 hours per week,12 Weeks,FREE-Add a Verified Certificate for $149 USD,7.5,149,12,51665452,90.0,"(80.0, 100.0]",12.756353570316175,"(80.0, 100.0]"
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,2–3 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,2.5,99,8,31702275,20.0,"(10.0, 20.0]",12.676779152699337,"(10.0, 20.0]"
CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,English,6–9 hours per week,12 Weeks,FREE-Add a Verified Certificate for $90 USD,7.5,90,12,62905500,90.0,"(80.0, 100.0]",13.457334487899274,"(80.0, 100.0]"
Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Harvard University,Intermediate,Business & Management,English,English,3–6 hours per week,8 Weeks,FREE-Add a Verified Certificate for $125 USD,4.5,125,8,51772625,36.0,"(30.0, 40.0]",12.934058355331855,"(30.0, 40.0]"
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,5,37636533,20.0,"(10.0, 20.0]",12.848365908846503,"(10.0, 20.0]"
Justice,392588,Self-paced on your time,Harvard University,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",3–6 hours per week,12 Weeks,FREE-Add a Verified Certificate for $99 USD,4.5,99,12,38866212,54.0,"(50.0, 60.0]",12.880515994896335,"(50.0, 60.0]"
