course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,subject,ingreso_por_curso
1070968,Ultimate Investment Banking Course,True,200,2147,23,51,All Levels,Business Finance,429400
1113822,Complete GST Course & Certification - Grow Your CA Practice,True,75,2792,923,274,All Levels,Business Finance,209400
1006314,Financial Modeling for Business Analysts and Consultants,True,45,2174,74,51,Intermediate Level,Business Finance,97830
1210588,Beginner to Pro - Financial Analysis in Excel 2017,True,95,2451,11,36,All Levels,Business Finance,232845
1011058,How To Maximize Your Profits Trading Options,True,200,1276,45,26,Intermediate Level,Business Finance,255200
192870,Trading Penny Stocks: A Guide for All Levels In 2017,True,150,9221,138,25,All Levels,Business Finance,1383150
739964,Investing And Trading For Beginners: Mastering Price Charts,True,65,1540,178,26,Beginner Level,Business Finance,100100
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95,2917,148,23,All Levels,Business Finance,277115
476268,Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,34,38,Expert Level,Business Finance,1008540
1167710,The Only Investment Strategy You Need For Your Retirement,True,200,827,14,15,All Levels,Business Finance,165400
592338,Forex Trading Secrets of the Pros With Amazon's AWS,True,200,4284,93,76,All Levels,Business Finance,856800
975046,Trading Options With Money Flow,True,200,1380,42,17,All Levels,Business Finance,276000
742602,Financial Management Risk and Return For Securities,True,30,3607,21,19,All Levels,Business Finance,108210
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,True,195,4061,52,16,All Levels,Business Finance,791895
1196544,Python Algo Trading: Sentiment Trading with News,True,200,294,19,42,All Levels,Business Finance,58800
504036,Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,106,19,Intermediate Level,Business Finance,170700
719698,Basic Technical Analysis: Learn the structure of the market,True,20,4919,79,16,Beginner Level,Business Finance,98380
564966,The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,115,52,All Levels,Business Finance,533200
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,24,23,All Levels,Business Finance,267700
58977,Financial Statements Made Easy,True,95,8095,249,12,Beginner Level,Business Finance,769025
1242604,Winning Forex Trading with Live Forex Trading Examples,True,200,809,3,25,All Levels,Business Finance,161800
798740,Forex Traders - Create Your First Trading Robot. No Coding!,True,200,2295,84,39,All Levels,Business Finance,459000
506568,Create A Business From Home Trading Stocks Today In 2017,True,75,10149,83,16,All Levels,Business Finance,761175
1020760,Introduction to Accounting : Mastering Financial Statements,True,50,1916,38,23,Beginner Level,Business Finance,95800
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,True,45,2507,333,40,All Levels,Business Finance,112815
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,True,150,5786,518,50,All Levels,Business Finance,867900
353044,Investing 101: The Complete Online Investing Course,True,200,5334,373,42,All Levels,Business Finance,1066800
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,True,175,4005,237,25,Intermediate Level,Business Finance,700875
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),True,150,2877,103,81,All Levels,Business Finance,431550
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,True,140,1026,25,37,Beginner Level,Business Finance,143640
1170894,Python Algo Stock Trading: Automate Your Trading!,True,95,1165,21,41,Beginner Level,Business Finance,110675
948974,THE Forex Robot: Incredible ROI (Robot Included),True,200,1843,171,35,All Levels,Business Finance,368600
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,True,45,8797,449,80,All Levels,Business Finance,395865
1217778,Mastering High Probability Iron Condor Options Trading,True,200,1030,11,22,All Levels,Business Finance,206000
1246208,The Complete Short Course on Ethereum,True,200,1041,12,28,All Levels,Business Finance,208200
434774,Options Trading Stocks: Proven Toolbox For Financial Success,True,195,7884,118,68,Intermediate Level,Business Finance,1537380
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,True,195,16900,2476,52,Beginner Level,Business Finance,3295500
888716,"Introduction to Finance, Accounting, Modeling and Valuation",True,200,11441,1118,61,All Levels,Business Finance,2288200
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,True,195,22257,2697,138,All Levels,Business Finance,4340115
965832,The Complete Investment Banking Course 2017,True,195,8575,809,110,All Levels,Business Finance,1672125
648826,The Complete Financial Analyst Course 2017,True,195,24481,2347,174,All Levels,Business Finance,4773795
1035472,Python for Finance: Investment Fundamentals & Data Analytics,True,195,3811,278,103,All Levels,Business Finance,743145
1154754,Financial Modeling for Startups & Small Businesses,True,195,4991,137,79,Beginner Level,Business Finance,973245
627540,Options Trading - How to Win with Weekly Options,True,115,7489,1190,25,Intermediate Level,Business Finance,861235
301442,Black Algo Trading: Build Your Trading Robot,True,200,20195,1113,227,All Levels,Business Finance,4039000
640100,Accounting & Financial Statement Analysis: Complete Training,True,150,10042,594,43,All Levels,Business Finance,1506300
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,True,95,367,42,35,All Levels,Business Finance,34865
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,True,200,10603,872,42,All Levels,Business Finance,2120600
1214702,Three Steps Trading - Live Trading - Real Account,True,190,1197,11,46,All Levels,Business Finance,227430
848664,Option Trading for Rookies:  Understand Options Completely,True,150,2893,65,62,All Levels,Business Finance,433950
1142570,How I Learned Stock Trading (and How You Can Too),True,200,1580,12,53,Expert Level,Business Finance,316000
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,True,95,10605,71,77,All Levels,Business Finance,1007475
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,True,125,2996,200,23,Intermediate Level,Business Finance,374500
885974,Four Fundamentals of Financial Planning,True,30,6219,23,20,All Levels,Business Finance,186570
1151092,Options Trading - Calendar Spread Course for Every Trader,True,200,1113,11,17,All Levels,Business Finance,222600
358326,Dividend Investing: Build Your Portfolio for a Better Future,True,60,8314,83,47,Beginner Level,Business Finance,498840
153210,Learn Accounting. Understand Business.,True,200,5572,123,33,Beginner Level,Business Finance,1114400
834836,How to Consistently Win Trading Stocks in 30 Days or Less,True,145,1433,169,15,Intermediate Level,Business Finance,207785
1171994,A Beginner's Guide to Quantopian Futures API,True,20,936,6,11,Intermediate Level,Business Finance,18720
1239068,How to Buy Cheap Options - Options Trading Pricing Model,True,200,658,2,19,All Levels,Business Finance,131600
985922,Excel Crash Course: Master Excel for Financial Analysis,True,105,8121,689,40,All Levels,Business Finance,852705
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",True,60,4187,600,79,Beginner Level,Business Finance,251220
165964,Stock Trading Ninja: Complete System For Trading Success,True,155,9445,497,38,All Levels,Business Finance,1463975
855172,Hedge and Mutual Fund Careers: The Complete Guide,True,200,3255,340,102,All Levels,Business Finance,651000
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,True,185,7941,713,40,All Levels,Business Finance,1469085
